latitude,longitude,length_of_encounter_seconds
29.8830556,-97.9411111,2700
29.38421,-98.581082,7200
53.2,-2.916667,20
28.9783333,-96.6458333,20
21.4180556,-157.8036111,900
36.595,-82.1888889,300
51.434722,-3.18,180
41.1175,-73.4083333,1200
33.5861111,-86.2861111,180
30.2947222,-82.9841667,120
33.9163889,-118.3516667,300
35.2333333,-82.7344444,180
40.6686111,-73.5275,1800
37.1536111,-83.7619444,180
35.8238889,-80.2536111,30
36.8430556,-83.3219444,1200
42.5377778,-83.2330556,120
41.3252778,-72.1936111,1800
32.364167,-64.678611,20
42.3916667,-71.5666667,2700
51.5,-3.2,1200
38.1055556,-98.6597222,1200
32.8544444,-79.975,360
45.5827778,-122.3522222,60
51.783333,-0.783333,3
29.4238889,-98.4933333,30
38.2541667,-85.7594444,30
40.7008333,-73.7133333,300
41.7002778,-73.9213889,900
53.970571,-111.689885,270
32.7152778,-117.1563889,180
38.7583333,-104.7425,1800
29.7630556,-95.3630556,180
32.7833333,-96.8,300
42.9955556,-71.4552778,300
-38.662334,178.017649,120
29.7630556,-95.3630556,60
44.7630556,-85.6205556,120
41.0338889,-73.7633333,20
53.8,-1.583333,600
41.523427,-73.646795,180
43.0388889,-87.9063889,600
43.9627778,-70.2830556,120
40.015,-105.27,60
47.6063889,-122.3308333,2
34.1577778,-118.6375,300
46.7163889,-122.9530556,60
36.722263,-86.577218,180
31.7058333,-83.6533333,120
35.235,-75.6288889,1800
40.2736111,-76.8847222,600
30.1586111,-85.6602778,3600
29.6158333,-95.5575,10
35.8905556,-83.7247222,60
32.7591667,-97.7969444,30
55.183333,59.65,1200
40.6936111,-89.5888889,8
36.2522222,-85.9516667,60
26.149798,-97.913611,3600
42.9097222,-73.8955556,120
34.1027778,-91.9922222,5
43.666667,-79.416667,3600
43.0388889,-87.9063889,120
37.8044444,-122.2697222,60
39.0725,-93.7169444,3
-33.093373,151.588982,300
32.7763889,-79.9311111,300
39.4402778,-84.3622222,60
39.6411111,-85.1411111,14400
33.4222222,-111.8219444,30
32.5436111,-83.5961111,300
43.6666667,-92.9744444,3600
34.0983333,-118.3258333,300
33.4483333,-112.0733333,15
42.0372222,-88.2811111,1800
36.175,-115.1363889,600
36.175,-115.1363889,2700
40.935998,-73.901708,60
47.6588889,-117.425,600
35.5847222,-80.8102778,2
47.55,-52.666667,7200
35.265,-84.5533333,15
38.0194444,-122.1330556,3600
39.1141667,-94.6272222,600
32.7833333,-96.8,10
32.7152778,-117.1563889,3600
46.2113889,-119.1361111,45
37.6688889,-122.0797222,90
37.6447222,-115.7427778,10800
41.6916667,-97.4841667,300
27.150053,-82.480653,120
45.565,-117.9163889,240
44.8838889,-84.3055556,2700
37.7241667,-89.8611111,180
26.525,-80.0666667,10
46.216667,-63.483333,30
43.40555,-88.705104,45
38.627003,-90.199404,15
38.1266667,-92.0844444,1800
38.9988889,-84.6266667,5
47.6063889,-122.3308333,10
47.5405556,-122.635,60
42.3952778,-94.6336111,240
-33.861481,151.205475,180
49.25,-123.133333,300
37.6688889,-122.0797222,120
41.0041667,-92.3736111,300
36.7477778,-119.7713889,900
33.4483333,-112.0733333,60
36.8527778,-75.9783333,30
46.0130556,-91.4844444,43
44.5402778,-123.3663889,5
-34.928661,138.598633,600
47.6063889,-122.3308333,90
46.216667,-63.483333,120
39.1619444,-84.4569444,1800
45.5236111,-122.675,120
41.79393,-86.743915,120
34.0952778,-118.1261111,300
39.7683333,-86.1580556,1800
38.8402778,-77.4291667,600
42.9897222,-116.0925,15
41.7791667,-83.5688889,18000
33.8075,-78.7011111,37800
35.0844444,-106.6505556,180
53.070884,-2.736506,2700
45.3088889,-89.4963889,1800
41.0886111,-74.1441667,180
40.058324,-74.405661,2700
49.966667,-98.3,1200
39.4666667,-87.4138889,5
39.7683333,-86.1580556,15
45.416667,-80.1,300
39.6294444,-79.9561111,10
37.8716667,-122.2716667,180
41.5094444,-90.5786111,3600
55.288131,23.957728,240
42.209774,-79.466844,1200
42.2669444,-79.7108333,900
44.295,-93.2686111,900
40.7583333,-82.5155556,7200
38.9516667,-92.3338889,60
45.3088889,-89.4963889,3000
47.6063889,-122.3308333,60
33.415,-111.5488889,30
25.9327778,-80.1627778,1800
34.0522222,-118.2427778,10
40.5030556,-78.6305556,300
52.516667,-3.3,360
35.4491667,-86.7888889,240
25.9327778,-80.1627778,3600
47.4158333,-120.2919444,1200
35.3186111,-82.4611111,600
46.3580556,-94.2005556,300
31.1911111,-95.2352778,3600
37.775,-122.4183333,600
34.8761111,-83.9583333,10
35.2247222,-88.2491667,600
38.0683333,-78.8897222,600
35.20105,-91.831833,2
34.6377778,-97.8172222,360
50.396389,-4.138611,120
31.2133333,-82.3541667,120
33.5058333,-102.0086111,300
41.52,-81.4888889,300
44.5366667,-122.9058333,14400
33.5441667,-84.2338889,3600
39.7391667,-104.9841667,2700
30.3319444,-81.6558333,30
33.7205556,-116.2147222,600
42.1033333,-76.2625,10800
40.0063889,-75.7036111,120
30.2669444,-97.7427778,3
33.5394444,-83.8194444,60
26.705621,-80.03643,180
33.6675,-84.0177778,3600
27.6383333,-80.3975,30
27.2541667,-80.23,120
29.7630556,-95.3630556,35
46.7833333,-92.1063889,600
40.68,-102.8388889,600
41.1577778,-80.0888889,3600
33.4213889,-96.5769444,4
39.8855556,-104.9866667,15
59.900209,5.282347,600
42.983333,-81.25,120
45.5113889,-92.98,300
42.6291667,-73.865,240
40.7138889,-116.1030556,600
37.9747222,-87.5558333,600
42.6525,-73.7566667,45
37.5483333,-121.9875,60
32.7252778,-114.6236111,900
41.6833333,-86.25,600
43.8280556,-91.3038889,10
40.516977,-80.221348,120
39.9522222,-75.1641667,60
47.6063889,-122.3308333,180
